"Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","common_name","status","max_grad","rrmse","aic"
1,0,0,0,"FALSE","Alaska plaice",NA,NA,NA,NA
0,1,0,0,"FALSE","Alaska plaice",NA,NA,NA,NA
1,1,0,0,"FALSE","Alaska plaice",NA,NA,NA,NA
0,0,1,0,"FALSE","Alaska plaice",NA,NA,NA,NA
1,0,1,0,"FALSE","Alaska plaice",NA,NA,NA,NA
0,1,1,0,"FALSE","Alaska plaice",NA,NA,NA,NA
1,1,1,0,"FALSE","Alaska plaice",NA,NA,NA,NA
0,0,0,1,"FALSE","Alaska plaice",NA,NA,NA,NA
1,0,0,1,"FALSE","Alaska plaice",NA,NA,NA,NA
0,1,0,1,"FALSE","Alaska plaice",NA,NA,NA,NA
1,1,0,1,"FALSE","Alaska plaice",NA,NA,NA,NA
0,0,1,1,"FALSE","Alaska plaice",NA,NA,NA,NA
1,0,1,1,"FALSE","Alaska plaice",NA,NA,NA,NA
0,1,1,1,"FALSE","Alaska plaice",NA,NA,NA,NA
1,1,1,1,"FALSE","Alaska plaice",NA,NA,NA,NA
