Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,,SEDIMENT,
Sample Size,,6.95,,7.71,,21.38,,12.57,,23.99,,18.35,,16.70,,18.36,,20.53,,7.08,,7.54,,10.14,,10.01,,9.87,,7.72,,10.46,,10.27,,15.67,,16.25,,15.21,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,12.257,,9.422,,0.693,,7.848,,0.814,,3.986,,4.987,,2.868,,8.992,,6.455,T,6.490,T,5.648,T,5.599,T,5.760,T,6.536,T,6.578,T,5.171,T,4.735,T,4.521,T,3.977,T
"13b(H),17a(H)-20S-Diacholestane ",,4.131,,3.177,,0.379,J,2.664,,0.339,J,1.513,,1.794,,1.280,,3.099,,2.255,T,2.057,T,1.883,T,2.138,T,2.127,T,2.430,T,2.155,T,1.709,T,1.430,T,1.545,T,1.322,T
"13b(H),17a(H)-20R-Diacholestane",,2.435,,2.046,,0.219,J,1.842,,0.212,J,0.876,,1.126,,0.725,,1.898,,1.332,JT,1.349,T,1.225,T,1.055,T,1.302,T,1.207,JT,1.228,T,1.192,T,0.752,T,0.934,T,0.841,T
"13b(H),17a(H)-20S-Methyldiacholestane",,2.369,,1.587,,0.240,J,1.601,,0.195,J,0.886,,1.004,,0.780,,1.780,,1.449,T,1.379,T,1.042,T,1.333,T,1.395,T,1.171,JT,1.197,T,0.938,JT,0.581,JT,1.047,T,0.824,T
"14a(H),17a(H)-20S-Cholestane",,9.395,,7.697,,0.640,,5.509,,0.605,,3.124,,3.913,,2.416,,6.254,,5.624,T,4.712,T,4.760,T,4.717,T,4.864,T,5.003,T,5.005,T,4.117,T,3.703,T,3.840,T,3.530,T
"14b(H),17b(H)-20R-Cholestane",,2.310,,1.958,,0.195,J,1.326,,0.274,J,0.901,,0.987,,0.651,,1.606,,1.293,JT,1.183,JT,1.070,T,1.082,T,1.387,T,1.366,T,1.185,T,0.956,JT,0.782,T,0.898,T,0.683,T
"14b(H),17b(H)-20S-Cholestane",,2.280,,2.018,,0.185,J,1.300,,0.286,J,0.866,,0.935,,0.685,,1.667,,1.348,JT,1.087,JT,1.106,T,1.065,T,1.258,T,1.040,JT,1.203,T,0.971,JT,0.924,T,0.784,T,0.751,T
"14a(H),17a(H)-20S-methylcholestane",,3.989,,3.349,,0.309,J,2.730,,0.299,J,1.225,,1.531,,1.308,,2.087,,2.547,T,2.559,T,2.171,T,2.292,T,1.619,T,2.360,T,2.248,T,1.892,T,1.733,T,1.585,T,1.489,T
"14b(H),17b(H)-20R-Methylcholestane",,3.199,,2.468,,0.211,J,1.626,,0.301,J,0.817,,0.919,,0.887,,1.848,,1.459,T,1.583,T,1.030,T,1.024,T,0.989,JT,1.746,T,1.562,T,1.136,T,1.046,T,1.028,T,0.879,T
"14b(H),17b(H)-20S-Methylcholestane",,2.832,,2.046,,0.180,J,1.614,,0.362,J,0.588,,0.971,,0.814,,1.363,,1.725,T,1.859,T,1.613,T,1.674,T,1.173,T,1.670,T,1.239,T,1.188,T,0.917,T,1.125,T,1.170,T
"14a(H),17a(H)-20R-methylcholestane ",,7.558,,6.372,,0.523,,5.109,,0.406,J,2.554,,3.100,,1.965,,6.103,,4.571,T,4.097,T,4.662,T,4.036,T,4.107,T,5.134,T,4.270,T,3.424,T,2.598,T,3.361,T,2.741,T
"14a(H),17a(H)-20S-Ethylcholestane",,3.258,,2.703,,0.230,J,2.249,,0.296,J,0.942,,1.290,,0.675,,2.144,,1.569,T,1.421,T,1.866,T,1.937,T,2.197,T,2.168,T,2.531,T,1.515,T,1.366,T,1.459,T,1.577,T
"14b(H),17b(H)-20R-Ethylcholestane",,5.565,,4.010,,0.387,J,3.836,,0.465,,1.978,,2.156,,1.536,,3.817,,3.879,T,3.391,T,3.568,T,3.307,T,3.621,T,4.258,T,3.033,T,2.972,T,2.808,T,2.895,T,2.266,T
"14b(H),17b(H)-20S-Ethylcholestane",,3.959,,3.672,,0.302,J,2.989,,0.464,,1.276,,1.801,,1.308,,2.641,,2.378,T,2.862,T,2.814,T,3.157,T,2.680,T,2.901,T,2.592,T,2.776,T,2.821,T,2.800,T,2.575,T
"14a(H),17a(H)-20R-Ethylcholestane",,14.127,,13.197,,1.137,,11.671,,0.822,,5.380,,5.229,,4.199,,8.895,,12.833,T,12.230,T,13.725,T,13.439,T,12.736,T,15.395,T,11.848,T,11.624,T,10.903,T,10.916,T,10.118,T
C23 Tricyclic Terpane,,2.815,J,2.878,J,0.449,J,2.197,J,0.429,J,1.240,J,1.484,J,0.771,J,4.027,,1.884,JT,1.762,JT,1.547,JT,1.578,JT,1.630,JT,1.778,JT,1.814,JT,1.616,JT,1.216,JT,1.203,JT,1.131,JT
C24 Tricyclic Terpane ,,1.599,J,1.740,J,0.154,J,1.342,J,0.240,J,0.749,J,0.908,J,0.545,J,2.562,,1.181,JT,1.142,JT,1.027,JT,1.179,JT,1.158,JT,1.189,JT,1.236,JT,0.973,JT,0.905,JT,0.827,JT,0.802,JT
C25 Tricyclic Terpane,,1.816,J,2.092,J,0.175,J,1.273,J,0.185,J,0.739,J,0.875,J,1.324,J,4.995,,2.285,JT,0.928,JT,1.038,JT,1.063,JT,0.954,JT,1.600,JT,1.088,JT,0.913,JT,0.879,JT,0.728,JT,0.758,JT
C24 Tetracyclic Terpane,,1.143,J,1.087,J,0.148,J,1.040,J,0.135,J,0.476,J,0.572,J,0.401,J,1.185,J,1.002,JT,0.874,JT,0.980,JT,0.837,JT,0.884,JT,0.932,JT,0.924,JT,0.863,JT,0.747,JT,0.735,JT,0.747,JT
C26 Tricyclic Terpane-22S,,0.839,J,0.791,J,0.247,U,0.652,J,0.080,J,0.322,J,0.420,J,0.321,J,0.968,J,0.631,JT,0.462,JT,0.446,JT,0.444,JT,0.587,JT,0.661,JT,0.487,JT,0.405,JT,0.438,JT,0.295,JT,0.295,JT
C26 Tricyclic Terpane-22R,,0.879,J,0.836,J,0.247,U,0.651,J,0.102,J,0.314,J,0.412,J,0.183,J,0.965,J,0.455,JT,0.448,JT,0.447,JT,0.363,JT,0.382,JT,0.568,JT,0.445,JT,0.348,JT,0.347,JT,0.392,JT,0.320,JT
C28 Tricyclic Terpane-22S,,0.912,J,0.696,J,0.247,U,0.688,J,0.221,U,0.357,J,0.299,J,0.174,J,1.085,J,0.601,JT,0.392,JT,0.553,JT,0.494,JT,0.629,JT,0.573,JT,0.298,JT,0.343,JT,0.387,JT,0.361,JT,0.244,JT
C28 Tricyclic Terpane-22R,,0.901,J,0.862,J,0.247,U,0.951,J,0.221,U,0.490,J,0.564,J,0.509,J,0.958,J,0.723,JT,0.705,JT,0.724,JT,0.542,JT,0.748,JT,0.785,JT,0.777,JT,0.727,JT,0.674,JT,0.691,JT,0.611,JT
C29 Tricyclic Terpane-22S,,0.733,J,0.781,J,0.247,U,0.622,J,0.221,U,0.248,J,0.469,J,0.318,J,1.232,J,0.656,JT,0.652,JT,0.405,JT,0.440,JT,0.518,JT,0.521,JT,0.597,JT,0.497,JT,0.338,UT,0.366,JT,0.352,JT
