,,,,,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2,gww 1000m-2
Boreotrophon clathratus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.7,0.0,0.0,9.7,25.2,0.0,0.0,43.5,0.0,58.0,37.9,8.1,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0
Boreotrophon truncatus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,3.5,0.0,47.1,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
Buccinum angulosum,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum elatior/scalariforme,,Nora Foster (expert),Gastropoda,Mollusca,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,94.2,37.1,0.0,0.0,0.0,0.0,130.5,88.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum ciliatum,Buccinum mix st 14-20,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,,,0.0,47.1,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Buccinum glaciale,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.9,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinum polare,"Buccinum mix st 14-20, Gastropod indet",Nora Foster (expert),Gastropoda,Mollusca,0.0,3.8,0.0,0.0,0.0,3.4,0.0,0.0,0.0,9.4,0.0,14.8,5.3,7.2,0.0,0.0,29.0,0.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0
Buccinum sp. ,Buccinum mix st 14-20,Nora Foster (expert),Gastropoda,Mollusca,0.0,,0.0,0.0,0.0,13.6,0.0,0.0,0.0,4.7,0.0,0.0,5.3,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buccinidae c.f. Colus sp.,Mohnia sp.,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colus sabini,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colus sp.,"Gastropoda indet., C. jeffreyianus?",Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,,,9.4,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.8,0.0,0.0,0.0,0.0
Cryptonatica affinis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtitoma novajasemljensis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtitoma violacea c.f.,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.9,22.6,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cylichna alba,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cylichna occulta,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.6,0.5,0.0,0.6,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,14.4,0.0,0.0,7.2,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diaphana hiemalis,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,1.7,,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epheria crassior,Iphionopsis sp,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granotoma albrechti,"Gastropoda indet., Oenopota elegans (14-25)",Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,4.7,,0.0,13.3,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limneria undata,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.5,0.0,0.6,1.7,19.8,0.0,1.8,4.7,0.0,0.0,26.5,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.2
Limneria undata soft shell,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunatia pallida,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites beringensis,,Nora Foster (expert),Gastropoda,Mollusca,0.0,2.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites groenlandicus,"Margarites costalis, M. pink (14-15)",Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,0.0,4.7,0.0,,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margarites costalis,,Nora Foster (expert),Gastropoda,Mollusca,0.4,2.5,0.0,0.0,0.0,10.2,217.5,0.0,190.3,0.0,169.5,0.0,37.1,86.5,188.5,391.4,405.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0
Neoiphinoe kroeyeri,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,0.0,,0.0,,4.7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neptunea heros/ventricosa,Neptunea sp. (14-11),Nora Foster (expert),Gastropoda,Mollusca,0.0,37.7,0.0,0.0,0.0,98.4,0.0,0.0,0.0,0.0,0.0,38.6,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,102.3,0.0,0.0,0.0,0.0,0.0
Neptunea communis,"Beringius beringi, Gastropoda indet.",Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tritonia c.f.,Nudibranchia Tritonia-like,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota pyramidalis,Oenopota elegans,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota pingelii,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota nobilis,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,18.8,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota impressa,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,1.9,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota harpa,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oenopota sp.,Gastropoda indet.,Nora Foster (expert),Gastropoda,Mollusca,,,,,,,,0.0,,1.9,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onchidiopsis sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opisthobranch white smooth,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dendronotus,Opisthobranchia cf dendronotus,Nora Foster (expert),Gastropoda,Mollusca,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philine sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.8,5.3,0.0,0.0,0.0,0.0,0.0,72.5,7.2,14.5,12.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plicifusus kroeyeri,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plicifusus sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Propebela spp. (arctica, nobilis)",,Nora Foster (expert),Gastropoda,Mollusca,0.0,1.3,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stenosemus albus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.0,0.0
Tachyrhynchus erosus,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1.9,285.0,31.8,0.0,0.0,0.0,43.5,14.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tritonia sp.,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0
Velutina laevigata,Velutina velutina,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Volutopsius sp,,Nora Foster (expert),Gastropoda,Mollusca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemertea,,,Nemertea,Nemertea,7.7,0.6,0.5,0.0,0.6,6.8,9.9,7.3,5.3,18.8,18.8,8.9,10.6,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.0,0.0,1.6,11.2
Platyhelminthes,,,Plathyhelminthes,Plathyhelminthes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polymastia sp.,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.0
Porifera ball,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera fragile soft,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera hexactinellid,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Porifera root-like,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0
Porifera soft flat,,,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,38.8,0.0,0.0,1.1
Vulcanella sp.,,uncertain,Porifera,Porifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.6,0.0,0.0,0.0,0.0
Priapulus caudatus,,,Priapula,Priapula,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golfingia margaritacea,,Monika Kedra (expert),Sipuncula,Sipuncula,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phascolion strombus,,Monika Kedra (expert),Sipuncula,Sipuncula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,47.1,0.0,142.5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eupyrgus scaber,Little grey balls Cuc,,Holothuroidea,Echinodermata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
