"haul_id","lat","lon","bot_temp","bot_salt","bot_depth","gear","year","common_name","cpue_kg_km2"
"2007b-Norcross-37-BT29",65.8036,-168.5746,5.57,32.09,56.9,"beam",2007,"saffron cod",0
"2007b-Norcross-38-BT30",66.008,-168.4831,6.81,32.03,55.2,"beam",2007,"saffron cod",0
"2007b-Norcross-43-BT33",65.1232,-168.0663,6.31,31.39,50.1,"beam",2007,"saffron cod",682.57761
"2007b-Norcross-44-BT35",64.8036,-167.4497,10.58,30.56,31.3,"beam",2007,"saffron cod",330.009979
"2007b-Norcross-45-BT36",64.4993,-166.9908,10.61,30.06,28.7,"beam",2007,"saffron cod",705.12805
"2007b-Norcross-47-BT37",64.4985,-169.0239,3.81,32.61,43.9,"beam",2007,"saffron cod",0
"2007b-Norcross-47-BT38",64.4939,-169.0632,3.81,32.61,44.7,"beam",2007,"saffron cod",0
"2007b-Norcross-48-BT40",64.4759,-169.5029,2.56,32.77,39.8,"beam",2007,"saffron cod",0
"2007b-Norcross-5-BT3",69.9743,-165.7547,4.5,32.15,43.5,"beam",2007,"saffron cod",0
"2007b-Norcross-5-BT4",69.9902,-165.7111,4.5,32.15,42.9,"beam",2007,"saffron cod",10.695186
"2007b-Norcross-6-BT6",70.017,-165.2604,4.01,32.24,41,"beam",2007,"saffron cod",3.508772
"2007b-Norcross-7-BT9",70.0485,-164.641,5.94,32.1,38.9,"beam",2007,"saffron cod",8.791208
"2008-Norcross-C12-BT15",68.8587,-167.8383,2.82,32.35,47,"beam",2008,"saffron cod",0
"2008-Norcross-C14-BT17",68.5104,-168.5749,1.55,32.6,50,"beam",2008,"saffron cod",28.192375
"2008-Norcross-C15-BT16",68.8724,-168.687,2.21,32.48,51,"beam",2008,"saffron cod",0
"2008-Norcross-C17-BT13",70.1797,-166.2836,-0.7,32.16,43,"beam",2008,"saffron cod",3.2938075
"2008-Norcross-C18-BT12",70.099,-164.9918,-0.6,33.13,37,"beam",2008,"saffron cod",0
"2008-Norcross-C21-BT11",70.498,-164.7489,-1.1,32.83,42,"beam",2008,"saffron cod",12.089812
"2008-Norcross-C22-BT10",70.5737,-165.9395,-1.37,32.65,41,"beam",2008,"saffron cod",16.042782
"2008-Norcross-C2-BT3",66.6783,-168.6645,1.1,32.43,34,"beam",2008,"saffron cod",0
"2008-Norcross-C31-BT14",69.5014,-167.022,1.49,32.17,44,"beam",2008,"saffron cod",0
"2008-Norcross-C4-BT20",67.5452,-168.558,2.17,32.69,46,"beam",2008,"saffron cod",0
"2008-Norcross-C9-BT18",68.1874,-167.1969,2.93,32.28,44,"beam",2008,"saffron cod",37.037034
"2008-Norcross-E3-BT4",70.0598,-167.1639,-1.08,32.54,44,"beam",2008,"saffron cod",0
