SiteCode,VariableCode,TSN,LabSampleCode,DataValue,CensorCode,OffsetValue,OffsetUnits,OffsetDescription,ValueAccuracy
143W-1,Be-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Cd-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Cr-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.01
143W-1,Cu-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.7
143W-1,Fe-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,2.5
143W-1,Hg-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,0.148,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Hg-MM,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Mn-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,1.1
143W-1,Ni-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.004
143W-1,Pb-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Sb-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Se-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.03
143W-1,Sn-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.001
143W-1,Tl-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.0001
143W-1,V-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.002
143W-1,Zn-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.4
143W-1,Water-T,93294,JT-2015-BIOTA-Amphipods-143W-1-lab-duplicate-2,-9999,nc,38.8,meters,Offset value represents sediment bottom depth of sampler,0.1
70-143,Ag-T,93294,JT-2015-BIOTA-Amphipods-70-143,1.61,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.004
70-143,Al-T,93294,JT-2015-BIOTA-Amphipods-70-143,255,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,2.3
70-143,As-T,93294,JT-2015-BIOTA-Amphipods-70-143,20.3,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.012
70-143,Ba-T,93294,JT-2015-BIOTA-Amphipods-70-143,10.5,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.01
70-143,Be-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.003,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Cd-T,93294,JT-2015-BIOTA-Amphipods-70-143,4.84,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Cr-T,93294,JT-2015-BIOTA-Amphipods-70-143,2.62,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.01
70-143,Cu-T,93294,JT-2015-BIOTA-Amphipods-70-143,46.1,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.7
70-143,Fe-T,93294,JT-2015-BIOTA-Amphipods-70-143,66.0,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,2.5
70-143,Hg-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.226,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Hg-MM,93294,JT-2015-BIOTA-Amphipods-70-143,0.146,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Mn-T,93294,JT-2015-BIOTA-Amphipods-70-143,18.3,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,1.1
70-143,Ni-T,93294,JT-2015-BIOTA-Amphipods-70-143,4.26,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.004
70-143,Pb-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.121,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Sb-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.004,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Se-T,93294,JT-2015-BIOTA-Amphipods-70-143,3.33,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.03
70-143,Sn-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.003,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.001
70-143,Tl-T,93294,JT-2015-BIOTA-Amphipods-70-143,0.011,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.0001
70-143,V-T,93294,JT-2015-BIOTA-Amphipods-70-143,6.49,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.002
70-143,Zn-T,93294,JT-2015-BIOTA-Amphipods-70-143,146,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.4
70-143,Water-T,93294,JT-2015-BIOTA-Amphipods-70-143,76.1,nc,65.5,meters,Offset value represents sediment bottom depth of sampler,0.1
70-145,Ag-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,1.26,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.004
70-145,Al-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,140,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,2.3
70-145,As-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,19.3,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.012
70-145,Ba-T,93294,JT-2015-BIOTA-Amphipods-70-145-field-duplicate-1,7.32,nc,45.8,meters,Offset value represents sediment bottom depth of sampler,0.01
