"common_name","Omega1","Omega2","Epsilon1","Epsilon2","dens_covar","status","max_grad","rrmse","aic"
"Arctic cod",0,1,0,1,"TRUE","confirm_gradient",2.87994510017597e-06,1.127,1646.90467779886
"Bering flounder",0,1,0,1,"TRUE","confirm_gradient",7.82969377155496e-06,1.636,695.867050119718
"Pacific cod",0,1,0,1,"TRUE","confirm_gradient",6.69164368775431e-07,16.275,189.815004797002
"saffron cod",0,1,0,1,"TRUE","confirm_gradient",1.41587034363511e-06,3.196,564.048683902039
"snow crab",0,1,0,1,"TRUE","confirm_gradient",2.79360328931944e-05,1.147,1738.17239079648
"walleye pollock",0,1,0,1,"TRUE","confirm_gradient",7.09139099086542e-06,4.24,292.432689125251
"yellowfin sole",0,1,0,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,1,0,1,"TRUE",NA,NA,NA,NA
"Arctic cod",1,1,0,1,"TRUE",NA,NA,NA,NA
"Bering flounder",1,1,0,1,"TRUE","confirm_gradient",8.09996514306022e-12,1.326,663.320303242154
"Pacific cod",1,1,0,1,"TRUE","confirm_gradient",13.4882658682366,2.856,187.065355813663
"saffron cod",1,1,0,1,"TRUE","confirm_gradient",4.35598792591918e-08,2.166,559.932721345836
"snow crab",1,1,0,1,"TRUE",NA,NA,NA,NA
"walleye pollock",1,1,0,1,"TRUE","confirm_gradient",1.90788554732535e-07,3.536,291.393263345764
"yellowfin sole",1,1,0,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,0,1,1,"TRUE",NA,NA,NA,NA
"Arctic cod",0,0,1,1,"TRUE","confirm_gradient",11.8235886685461,0.884,1642.75705338418
"Bering flounder",0,0,1,1,"TRUE","confirm_gradient",4.08530542728158e-09,1.027,682.079836508965
"Pacific cod",0,0,1,1,"TRUE",NA,NA,NA,NA
"saffron cod",0,0,1,1,"TRUE",NA,NA,NA,NA
"snow crab",0,0,1,1,"TRUE",NA,NA,NA,NA
"walleye pollock",0,0,1,1,"TRUE","confirm_gradient",0.00392762132793223,2.653,274.377622271337
"yellowfin sole",0,0,1,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,0,1,1,"TRUE",NA,NA,NA,NA
"Arctic cod",1,0,1,1,"TRUE","confirm_gradient",11.8210318142617,0.884,1644.75696858934
"Bering flounder",1,0,1,1,"TRUE","confirm_gradient",2.2427110479839e-07,1.066,674.430505330137
"Pacific cod",1,0,1,1,"TRUE",NA,NA,NA,NA
"saffron cod",1,0,1,1,"TRUE","confirm_gradient",1.4095961166305e-05,1.551,553.757105127813
"snow crab",1,0,1,1,"TRUE",NA,NA,NA,NA
"walleye pollock",1,0,1,1,"TRUE","confirm_gradient",0.0039153158824945,2.653,276.377622271013
"yellowfin sole",1,0,1,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",0,1,1,1,"TRUE","confirm_gradient",1.60751612606418e-06,3.118,227.729144773799
"Arctic cod",0,1,1,1,"TRUE","confirm_gradient",8.76530982396389,0.867,1644.29479658015
"Bering flounder",0,1,1,1,"TRUE","confirm_gradient",3.77579738142231e-07,1.142,673.087831526031
"Pacific cod",0,1,1,1,"TRUE","confirm_gradient",52.7078536832374,2.53,182.993408911093
"saffron cod",0,1,1,1,"TRUE","confirm_gradient",3.13672643414975e-08,2.039,551.091236983018
"snow crab",0,1,1,1,"TRUE",NA,NA,NA,NA
"walleye pollock",0,1,1,1,"TRUE","confirm_gradient",0.00392845914086593,2.653,276.377622271586
"yellowfin sole",0,1,1,1,"TRUE",NA,NA,NA,NA
"Alaska plaice",1,1,1,1,"TRUE",NA,NA,NA,NA
"Arctic cod",1,1,1,1,"TRUE","confirm_gradient",8.76525534529651,0.867,1646.29479644086
"Bering flounder",1,1,1,1,"TRUE","confirm_gradient",2.34909947494089e-07,1.326,665.320303249309
"Pacific cod",1,1,1,1,"TRUE",NA,NA,NA,NA
"saffron cod",1,1,1,1,"TRUE","confirm_gradient",4.22126333887718e-08,2.039,553.091236978093
"snow crab",1,1,1,1,"TRUE",NA,NA,NA,NA
"walleye pollock",1,1,1,1,"TRUE","confirm_gradient",0.00393113919128041,2.653,278.37762227115
"yellowfin sole",1,1,1,1,"TRUE","confirm_gradient",1.45370631077651e-08,2.207,277.479292951441
